Sample	Bowtie 2_mqc-generalstats-bowtie_2-overall_alignment_rate	Samtools Flagstat_mqc-generalstats-samtools_flagstat-mapped_passed
5.phix_1-11910084-big-mem001	0.11	
5.phix_10-11910084-big-mem003	0.16	
5.phix_11-11910084-big-mem003	0.2	
5.phix_12-11910084-big-mem003	0.2	
5.phix_2-11910084-big-mem001	0.13	
5.phix_3-11910084-big-mem001	0.18	
5.phix_4-11910084-big-mem001	0.2	
5.phix_5-11910084-big-mem002	0.12	
5.phix_6-11910084-big-mem002	0.12	
5.phix_7-11910084-big-mem002	0.1	
5.phix_8-11910084-big-mem002	0.15	
5.phix_9-11910084-big-mem003	0.18	
6.phix_1-11910115-big-mem001	0.11	
6.phix_10-11910115-big-mem003	0.16	
6.phix_11-11910115-big-mem003	0.2	
6.phix_12-11910115-big-mem003	0.2	
6.phix_2-11910115-big-mem001	0.13	
6.phix_3-11910115-big-mem001	0.18	
6.phix_4-11910115-big-mem001	0.2	
6.phix_5-11910115-big-mem002	0.12	
6.phix_6-11910115-big-mem002	0.12	
6.phix_7-11910115-big-mem002	0.1	
6.phix_8-11910115-big-mem002	0.15	
6.phix_9-11910115-big-mem003	0.18	
SRR2121770		4265179
SRR2121771		3371489
SRR2121774		1366574
SRR2121775		4031216
SRR2121778		5947746
SRR2121779		5093412
SRR2121780		4109791
SRR2121781		5042025
SRR2121786		7103549
SRR2121787		4879837
SRR2121788		5080838
SRR2121789		7013486
