Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
SRR2121770	205559289	0	0	0	85	0	0	0	4265179	0	2.07	nan	205559204	0	102779602	0	102779602	0	4151684	0	2.02	nan	4187608	0	77486	0	0.04	nan	4222	0	1026	0	205559289
SRR2121771	177018891	0	0	0	65	0	0	0	3371489	0	1.9	nan	177018826	0	88509413	0	88509413	0	3257224	0	1.84	nan	3286206	0	85218	0	0.05	nan	3660	0	854	0	177018891
SRR2121774	154480074	0	0	0	16	0	0	0	1366574	0	0.88	nan	154480058	0	77240029	0	77240029	0	1334134	0	0.86	nan	1345550	0	21008	0	0.01	nan	698	0	118	0	154480074
SRR2121775	188358217	0	0	0	23	0	0	0	4031216	0	2.14	nan	188358194	0	94179097	0	94179097	0	3904162	0	2.07	nan	3943000	0	88193	0	0.05	nan	2748	0	443	0	188358217
SRR2121778	216674585	0	0	0	43	0	0	0	5947746	0	2.75	nan	216674542	0	108337271	0	108337271	0	5847182	0	2.7	nan	5899544	0	48159	0	0.02	nan	7840	0	1103	0	216674585
SRR2121779	185848408	0	0	0	44	0	0	0	5093412	0	2.74	nan	185848364	0	92924182	0	92924182	0	5002130	0	2.69	nan	5045512	0	47856	0	0.03	nan	5962	0	938	0	185848408
SRR2121780	152344876	0	0	0	44	0	0	0	4109791	0	2.7	nan	152344832	0	76172416	0	76172416	0	4035844	0	2.65	nan	4068446	0	41301	0	0.03	nan	4764	0	800	0	152344876
SRR2121781	190977994	0	0	0	72	0	0	0	5042025	0	2.64	nan	190977922	0	95488961	0	95488961	0	4945070	0	2.59	nan	4988526	0	53427	0	0.03	nan	5844	0	1206	0	190977994
SRR2121786	139812853	0	0	0	19	0	0	0	7103549	0	5.08	nan	139812834	0	69906417	0	69906417	0	6956152	0	4.98	nan	7042598	0	60932	0	0.04	nan	5328	0	961	0	139812853
SRR2121787	108854096	0	0	0	18	0	0	0	4879837	0	4.48	nan	108854078	0	54427039	0	54427039	0	4774680	0	4.39	nan	4824168	0	55651	0	0.05	nan	2460	0	489	0	108854096
SRR2121788	147543042	0	0	0	58	0	0	0	5080838	0	3.44	nan	147542984	0	73771492	0	73771492	0	4958136	0	3.36	nan	5022736	0	58044	0	0.04	nan	2248	0	824	0	147543042
SRR2121789	165529230	0	0	0	50	0	0	0	7013486	0	4.24	nan	165529180	0	82764590	0	82764590	0	6870016	0	4.15	nan	6955832	0	57604	0	0.03	nan	3650	0	952	0	165529230
