Sample	PE mapped uniquely	PE mapped discordantly uniquely	PE one mate mapped uniquely	PE neither mate aligned
6.phix_1-11910115-big-mem001	104901.0	5081.0	1380.5	102668239.5
6.phix_10-11910115-big-mem003	82246.0	4218.0	980.5	54339594.5
6.phix_11-11910115-big-mem003	141673.0	7405.0	1456.5	73620957.5
6.phix_12-11910115-big-mem003	159424.0	8139.0	1792.5	82595234.5
6.phix_2-11910115-big-mem001	109250.0	5514.0	1233.0	88393416.0
6.phix_3-11910115-big-mem001	131043.0	6603.0	1412.5	77100970.5
6.phix_4-11910115-big-mem001	180154.0	9196.0	1987.0	93987760.0
6.phix_5-11910115-big-mem002	125182.0	6325.0	1346.5	108204417.5
6.phix_6-11910115-big-mem002	103379.0	5222.0	1138.5	92814442.5
6.phix_7-11910115-big-mem002	69011.0	3475.0	757.5	76099172.5
6.phix_8-11910115-big-mem002	138166.0	7190.0	1499.5	95342105.5
6.phix_9-11910115-big-mem003	121473.0	6424.0	1348.0	69777172.0
