Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
6.phix_1-11910115-big-mem001	102779602	102779602	102674701	104901	0	5081	205336479	2761	0	0.11	0.0	102668239.5	1380.5
6.phix_10-11910115-big-mem003	54427039	54427039	54344793	82246	0	4218	108679189	1961	0	0.16	0.0	54339594.5	980.5
6.phix_11-11910115-big-mem003	73771492	73771492	73629819	141673	0	7405	147241915	2913	0	0.2	0.0	73620957.5	1456.5
6.phix_12-11910115-big-mem003	82764590	82764590	82605166	159424	0	8139	165190469	3585	0	0.2	0.0	82595234.5	1792.5
6.phix_2-11910115-big-mem001	88509413	88509413	88400163	109250	0	5514	176786832	2466	0	0.13	0.0	88393416.0	1233.0
6.phix_3-11910115-big-mem001	77240029	77240029	77108986	131043	0	6603	154201941	2825	0	0.18	0.0	77100970.5	1412.5
6.phix_4-11910115-big-mem001	94179097	94179097	93998943	180154	0	9196	187975520	3974	0	0.2	0.0	93987760.0	1987.0
6.phix_5-11910115-big-mem002	108337271	108337271	108212089	125182	0	6325	216408835	2693	0	0.12	0.0	108204417.5	1346.5
6.phix_6-11910115-big-mem002	92924182	92924182	92820803	103379	0	5222	185628885	2277	0	0.12	0.0	92814442.5	1138.5
6.phix_7-11910115-big-mem002	76172416	76172416	76103405	69011	0	3475	152198345	1515	0	0.1	0.0	76099172.5	757.5
6.phix_8-11910115-big-mem002	95488961	95488961	95350795	138166	0	7190	190684211	2999	0	0.15	0.0	95342105.5	1499.5
6.phix_9-11910115-big-mem003	69906417	69906417	69784944	121473	0	6424	139554344	2696	0	0.18	0.0	69777172.0	1348.0
