Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR2121770	102779602.0	101.0	83997778.0	81.73	100.73	8669309.0	8581633.0	8571252.0	90017.0	8040.0	0.0	0.23	0.0	1.35	0.0	1.11	12297468.0	11.96	1852567.0	1.8	0.0	4.08	0.42	0	4199489	432300
SRR2121771	88509413.0	101.0	72886507.0	82.35	101.11	8001254.0	7920075.0	7910069.0	83688.0	7497.0	0.0	0.29	0.0	1.33	0.0	1.1	10128496.0	11.44	1405520.0	1.59	0.0	4.2	0.42	0	3717173	371717
SRR2121774	77240029.0	101.0	63080607.0	81.67	101.1	10614183.0	10513454.0	10487242.0	116159.0	10782.0	0.0	0.29	0.0	1.37	0.0	1.12	10020457.0	12.97	1242987.0	1.61	0.0	3.42	0.33	0	2641132	254846
SRR2121775	94179097.0	101.0	78266028.0	83.1	101.14	11755786.0	11643383.0	11619323.0	124786.0	11677.0	0.0	0.17	0.0	1.26	0.0	1.17	10617795.0	11.27	1061581.0	1.13	0.0	4.09	0.4	0	3856527	377166
SRR2121778	108337271.0	100.0	90382298.0	83.43	100.6	10864763.0	10755872.0	10738589.0	116451.0	9723.0	0.0	0.17	0.01	1.36	0.0	1.13	11940058.0	11.02	1736909.0	1.6	0.0	3.51	0.44	0	3801469	476537
SRR2121779	92924182.0	100.0	78565604.0	84.55	100.51	8361834.0	8273536.0	8267608.0	86771.0	7455.0	0.0	0.22	0.01	1.35	0.0	1.11	8949196.0	9.63	1362437.0	1.47	0.0	3.87	0.49	0	3592128	454817
SRR2121780	76172416.0	100.0	62830592.0	82.48	100.51	6866426.0	6799358.0	6785970.0	74270.0	6186.0	0.0	0.22	0.01	1.35	0.0	1.11	8840727.0	11.61	1374511.0	1.8	0.0	3.66	0.44	0	2791050	335536
SRR2121781	95488961.0	101.0	82902484.0	86.82	100.81	7992131.0	7913636.0	7903743.0	80844.0	7544.0	0.0	0.17	0.01	1.4	0.0	1.13	7971455.0	8.35	846306.0	0.89	0.0	3.45	0.49	0	3300018	468698
SRR2121786	69906417.0	100.0	56448204.0	80.75	100.41	6183251.0	6104015.0	6111859.0	65900.0	5492.0	0.0	0.26	0.01	1.2	0.0	1.16	8001379.0	11.45	1010599.0	1.45	0.0	5.82	0.54	0	4068724	377511
SRR2121787	54427039.0	100.0	43681618.0	80.26	100.33	4335350.0	4260548.0	4286743.0	44777.0	3830.0	0.0	0.28	0.01	1.22	0.0	1.15	5937146.0	10.91	958126.0	1.76	0.0	6.4	0.67	0	3485283	364866
SRR2121788	73771492.0	101.0	59617363.0	80.81	101.18	7285589.0	7202271.0	7198593.0	80394.0	6602.0	0.0	0.16	0.01	1.3	0.0	1.13	8991847.0	12.19	703260.0	0.95	0.0	5.61	0.43	0	4141575	317447
SRR2121789	82764590.0	101.0	67555737.0	81.62	101.22	8582074.0	8487855.0	8477049.0	97432.0	7593.0	0.0	0.15	0.01	1.25	0.0	1.15	10165811.0	12.28	891102.0	1.08	0.0	4.53	0.49	0	3746671	405269
