Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
SRR2121770	83997778.0	12297468.0	1852567.0	4199489.0	432300.0
SRR2121771	72886507.0	10128496.0	1405520.0	3717173.0	371717.0
SRR2121774	63080607.0	10020457.0	1242987.0	2641132.0	254846.0
SRR2121775	78266028.0	10617795.0	1061581.0	3856527.0	377166.0
SRR2121778	90382298.0	11940058.0	1736909.0	3801469.0	476537.0
SRR2121779	78565604.0	8949196.0	1362437.0	3592128.0	454817.0
SRR2121780	62830592.0	8840727.0	1374511.0	2791050.0	335536.0
SRR2121781	82902484.0	7971455.0	846306.0	3300018.0	468698.0
SRR2121786	56448204.0	8001379.0	1010599.0	4068724.0	377511.0
SRR2121787	43681618.0	5937146.0	958126.0	3485283.0	364866.0
SRR2121788	59617363.0	8991847.0	703260.0	4141575.0	317447.0
SRR2121789	67555737.0	10165811.0	891102.0	3746671.0	405269.0
